"Hull","Name","Name (Hull)","Ship Alt Title","Ship Type","Class","UIC","Status","Fleet","Date Status Last Changed","Homeport","Maintenance Category","Berth","Force","Builder","Award Date","Commission Date","Keel Date","Inactivation Date","Launch Date","Decommission Date","Delivery Date","InService Date","Out Service Date","Stricken Date","Overall Length","Waterline Length","Extreme Beam","Waterline Beam","Max Navigational Draft","Draft Limit","Light Displacement","Full Displacement","Dead Weight","Hull Material","No. of Propellers","No. of Waterjets","Propulsion Type","Accommodations Officers","Accommodations Enlisted","Custodian","Planning Yard","Nuclear Planning Yard","Ships Program Manager","Comments","Last Updated"
"CV 63","KITTY HAWK","KITTY HAWK (CV 63)","(ex - CVA 63)","MULTI-PURPOSE AIRCRAFT CARRIER","CV 63","03363","Stricken, Final Disposition Pending","","10/20/2017","","X","NAVSEA Inactive Ships On-site Maintenance Office, Bremerton, WA","","New York Shipbuilding Corp.","10/01/1955","04/29/1961","12/27/1956","05/12/2009","05/21/1960","05/12/2009","04/25/1961","","","10/20/2017","1069 ft","990 ft","282 ft","130 ft","38 ft","38 ft","60933 tons","81780 tons","20847 tons","Steel hull, steel superstructure.","4","","Steam Turbines","578","5046","NAVSEA INACTIVE SHIPS ON-SITE MAINTENANCE OFFICE, BREMERTON, WA","","","","","03/05/2018"
"FFG 42","KLAKRING","KLAKRING (FFG 42)","","GUIDED MISSILE FRIGATE","FFG 7","21109","Stricken, Final Disposition Pending","","03/22/2013","","X","NAVSEA Inactive Ships On-site Maintenance Office, Philadelphia, PA","","Bath Iron Works Corp.","04/27/1979","08/20/1983","02/19/1982","","09/18/1982","03/22/2013","08/05/1983","","","03/22/2013","453 ft","408 ft","47 ft","47 ft","26 ft","17 ft","3129 tons","4100 tons","971 tons","Steel hull, aluminum superstructure.","1","","Gas Turbines","19","200","NAVSEA INACTIVE SHIPS ON-SITE MAINTENANCE OFFICE, PHILADELPHIA, PA","","","","","12/12/2017"
"APD 134","KLEINSMITH","KLEINSMITH (APD 134)","(ex - DE 718)","HIGH SPEED TRANSPORT","APD 87","53718","Disposed of through the Security Assistance Program (SAP), Foreign Military Sale or Lease","","05/16/1960","","","","","Defoe Shipbuilding Co.","10/09/1942","06/12/1945","08/30/1944","","01/27/1945","05/16/1960","05/08/1945","","","","306 ft","300 ft","37 ft","36 ft","13 ft","13 ft","1450 tons","2130 tons","680 tons","Steel hull, steel superstructure.","2","","Turbo-Electric","25","335","TAIWAN","","","","","07/14/2005"
"APD 120","KLINE","KLINE (APD 120)","(ex - DE 687)","HIGH SPEED TRANSPORT","APD 87","53687","Disposed of through the Security Assistance Program (SAP), transferred, Military Assistance Service Funded, ex-US fleet hull","","01/22/1966","","","","","Bethlehem Steel Co., Shipbuilding Div.","10/29/1942","10/18/1944","05/27/1944","","06/27/1944","03/10/1947","10/18/1944","","","01/15/1966","306 ft","300 ft","37 ft","36 ft","13 ft","","","","","Steel hull, steel superstructure.","2","","","","","TAIWAN","","","","","08/12/2010"
"AR 22","KLONDIKE","KLONDIKE (AR 22)","(ex - AD 22)","REPAIR SHIP","AR 22","04640","Disposed of by MARAD sale","","05/08/1975","","","","","","","","","","","","","","","09/15/1974","","","","","","","","","","","","","","","","MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET)","","","","","12/28/2001"
"DD 653","KNAPP","KNAPP (DD 653)","","DESTROYER","DD 448","04053","Disposed of, by Navy Sale","","08/01/1973","","","","","","","","","","","","","","","03/06/1972","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","01/02/2002"
"AGOR 15","KNORR","KNORR (AGOR 15)","","OCEANOGRAPHIC RESEARCH SHIP","AGOR 3","20167","Disposed of through Foreign Military Transfer (Sale)","","11/12/2015","","","","","Defoe Shipbuilding Co.","09/30/1966","","09/09/1967","","08/21/1968","","01/14/1970","","","12/31/2014","279 ft","220 ft","46 ft","46 ft","17 ft","","1520 tons","1915 tons","395 tons","Steel hull, steel superstructure.","3","","Diesal Electric SCR Drive","36","33","","","","","Disposed of through Foreign Military Transfer (Sale) to the Government of Mexico, Mexican Navy Designator - ARM RIO TECOLUTLA (BI-08)","03/29/2017"
"FF 1052","KNOX","KNOX (FF 1052)","(ex - DE 1052)","FRIGATE","FF 1052","54047","Disposed of in support of Fleet training exercise","","08/07/2007","","","","","Todd Shipyards Corp., Seattle Div","07/22/1964","04/12/1969","10/05/1965","","11/19/1966","02/14/1992","03/28/1969","","","01/11/1995","437 ft","415 ft","47 ft","47 ft","25 ft","17 ft","3200 tons","4163 tons","963 tons","Steel hull, aluminum superstructure.","1","","Steam Turbines","17","240","US NAVY","","","","","09/05/2007"
"LPR 101","KNUDSON","KNUDSON (LPR 101)","(ex - DE 591, APD 101)","AMPHIBIOUS TRANSPORT, SMALL","LPR 101","53591","Disposed of, by Navy Sale","","12/03/1974","","","","","BETHLEHEM STEEL CORP., HINGHAM SHIPYARD","08/07/1942","11/25/1944","12/23/1943","","02/05/1944","01/02/1958","11/25/1944","","","07/15/1972","306 ft","300 ft","37 ft","36 ft","13 ft","","","","","Steel hull, steel superstructure.","2","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","02/15/2002"
"YF 866","KODIAK","KODIAK (YF 866)","","COVERED LIGHTER (S-P)","YF 852","18866","Disposed of in support of Fleet training exercise","","07/28/1988","","","","","Missouri Valley Brigde & Iron Co.","","","","","","","11/15/1945","","","02/15/1985","","","","","","","","","","","","","","","","US NAVY","","","","","06/07/2002"
"FF 1049","KOELSCH","KOELSCH (FF 1049)","(ex - DE 1049)","FRIGATE","FF 1040","54044","Disposed of by Navy title transfer to the Maritime Administration","","09/28/1994","","","","","Defoe Shipbuilding Co.","03/21/1963","06/10/1967","02/19/1964","","06/08/1965","05/31/1989","05/23/1967","","","07/01/1994","","","","","","","","","","","","","Steam Turbines","","","MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET)","","","","","06/29/2000"
"YTM 151","KONOKA","KONOKA (YTM 151)","(ex - YT 151, YTB 151)","MEDIUM HARBOR TUG (S-P)","YTM 138","13151","Stricken, to be disposed of by Navy sale","","12/15/1982","","X","","","","","","10/03/1940","","","","","","","12/15/1982","101 ft","","","","","","260 tons","","","Steel hull, steel superstructure.","1","","","","","US NAVY","","","","","12/05/2001"
"SS 370","KRAKEN","KRAKEN (SS 370)","","SUBMARINE","SS 370","05470","Disposed of through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned","","11/01/1974","","","","","","","","","","","","","","","11/01/1974","","","","","","","","","","","","","","","","SPAIN","","","","","07/24/2006"
"DER 329","KRETCHMER","KRETCHMER (DER 329)","(ex - DE 329)","RADAR PICKET ESCORT SHIP","DER 386","03029","Disposed of, by Navy Sale","","05/01/1974","","","","","","","","","","","","","","","09/30/1973","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","12/31/2001"
"ARL 38","KRISHNA","KRISHNA (ARL 38)","(ex - LST 1149)","REPAIR SHIP, SMALL","ARL 1","58149","Disposed of through the Security Assistance Program (SAP), Foreign Military Sale or Lease","","10/30/1971","","","","","","06/13/1944","","02/23/1945","","05/25/1945","","06/06/1945","","","09/15/1979","328 ft","316 ft","50 ft","50 ft","14 ft","","2220 tons","4325 tons","2105 tons","Steel hull, steel superstructure.","2","","","22","238","PHILIPPINES","","","","","07/14/2005"
"DE 744","KYNE","KYNE (DE 744)","","ESCORT SHIP","DE 99","53744","Disposed of, by Navy Sale","","11/01/1773","","","","","","","","","","","","","","","08/01/1972","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","01/02/2002"
"SSN 686","L MENDEL RIVERS","L MENDEL RIVERS (SSN 686)","","SUBMARINE (NUCLEAR-POWERED)","SSN 637","20350","Disposed of by submarine recycling","","07/19/2002","","","","","Newport News Shipbuilding","07/01/1969","02/01/1975","06/26/1971","","06/02/1973","05/10/2001","12/01/1974","","","05/10/2001","298 ft","","32 ft","","30 ft","","4208 tons","4513 tons","305 tons","Steel hull, steel superstructure.","1","","Steam Turbine (Nuclear)","14","112","PUGET SOUND NAVAL SHIPYARD, BREMERTON, WA (NAVSHIPYD)","","","","","09/29/2015"
"AS 36","L Y SPEAR","L Y SPEAR (AS 36)","","SUBMARINE TENDER","AS 36","05851","Disposed of by Dismantling (Scrapping/Recycling)","","07/14/2011","","X","","","General Dynamics Corp.","05/12/1965","02/28/1970","05/05/1966","","09/07/1967","09/06/1996","02/11/1970","","","05/03/1999","643 ft","620 ft","85 ft","85 ft","29 ft","29 ft","14362 tons","23396 tons","9034 tons","Steel hull, steel superstructure.","1","","Steam Turbine","87","1235","","","","","","12/12/2017"
"SSN 701","LA JOLLA","LA JOLLA (SSN 701)","","SUBMARINE (NUCLEAR-POWERED)","SSN 688","20826","Stricken, to be disposed of, retain as submarine moored training ship","","11/15/2019","","Z","","","General Dynamics Electric Boat","12/10/1973","09/30/1981","10/16/1976","","08/11/1979","11/15/2019","09/30/1981","","","11/15/2019","362 ft","","33 ft","","32 ft","","5774 tons","6141 tons","367 tons","Steel hull, steel superstructure.","1","","Steam Turbine (Nuclear)","12","98","NAVAL NUCLEAR POWER TRAINING UNIT, CHARLESTON, SC (NAVNUPWRTRAU)","","General Dynamics Electric Boat","","","12/05/2019"
"LST 1194","LA MOURE COUNTY","LA MOURE COUNTY (LST 1194)","","TANK LANDING SHIP","LST 1179","20033","Disposed of in support of Fleet training exercise","","07/10/2001","","","","","General Dynamics, National Steel & Shipbuilding Corp.","07/15/1966","12/18/1971","05/22/1970","","02/13/1971","11/17/2000","12/01/1971","","","11/17/2000","523 ft","500 ft","70 ft","70 ft","19 ft","19 ft","5142 tons","8742 tons","3600 tons","Steel hull, aluminum superstructure.","2","","Diesel Engines","12","209","US NAVY","","","","","08/21/2019"
"AGF 3","LA SALLE","LA SALLE (AGF 3)","(ex - LPD 3)","MISCELLANEOUS COMMAND SHIP","AGF 3","07172","Disposed of in support of Fleet training exercise","","04/11/2007","","","","","Naval Shipyard New York","08/08/1960","02/22/1964","04/02/1962","","08/03/1963","05/27/2005","02/21/1964","","","05/27/2005","522 ft","500 ft","107 ft","84 ft","22 ft","23 ft","9559 tons","13634 tons","4075 tons","Steel hull, steel superstructure.","2","","Steam Turbines","72","593","US NAVY","","","","","04/23/2007"
"DDG 58","LABOON","USS LABOON (DDG 58)","","GUIDED MISSILE DESTROYER","DDG 51","21820","Active, in commission","U.S. ATLANTIC FLEET","03/18/1995","NORFOLK, VA","","","Battle Force","Bath Iron Works Corp.","12/13/1988","03/18/1995","03/23/1992","","02/20/1993","","12/02/1994","","","","505 ft","466 ft","66 ft","59 ft","31 ft","22 ft","6742 tons","8960 tons","2218 tons","Steel hull, steel superstructure.","2","","Gas Turbines","26","330","US NAVY","General Dynamics Bath Iron Works","","PMS 407","","08/26/2021"
"SSBN 616","LAFAYETTE","LAFAYETTE (SSBN 616)","","BALLISTIC MISSILE SUBMARINE (NUCLEAR-POWERED)","SSBN 616","05123","Disposed of by submarine recycling","","02/25/1992","","","","","General Dynamics Electric Boat","07/22/1960","04/23/1963","01/17/1961","","05/08/1962","08/12/1991","04/23/1963","","","08/12/1991","","","","","","","","","","","","","Steam Turbine (Nuclear)","","","PUGET SOUND NAVAL SHIPYARD, BREMERTON, WA (NAVSHIPYD)","","","","","12/05/2019"
"DD 724","LAFFEY","LAFFEY (DD 724)","","DESTROYER","DD 692","04324","Donated as a Museum and Memorial","","08/15/1978","","","","","Bath Iron Works Corp.","08/07/1942","02/08/1944","06/28/1943","","11/21/1943","","02/08/1944","","","03/29/1975","376 ft","369 ft","41 ft","41 ft","18 ft","14 ft","2350 tons","3320 tons","970 tons","Steel hull, steel superstructure.","2","","","23","330","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","LAFFEY IS LOCATED AT THE PATRIOTS POINT NAVAL & MARITIME MUSEUM, 40 PATRIOTS POINT ROAD, MOUNT PLEASANT, SC. SHE IS LISTED ON THE NATIONAL REGISTER OF HISTORIC PLACES, REF. NO. 83002189 AND DESIGNATED A NATIONAL HISTORIC LANDMARK ON 1/14/1986.","06/11/2002"
"SS 371","LAGARTO","LAGARTO (SS 371)","","SUBMARINE","SS 370","","Disposed of, type of disposal not known","","05/03/1945","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","US NAVY","","","","JUN 2006 THE NAVAL HISTORICAL CENTER, WASH. DC CONFIRMED THAT A WWII SUB WRECK FOUND IN THE GULF OF THAILAND IS USS LAGARTO, SS-371.","07/24/2006"
"CG 57","LAKE CHAMPLAIN","USS LAKE CHAMPLAIN (CG 57)","","GUIDED MISSILE CRUISER","CG 47","21428","Active, in commission","U.S. PACIFIC FLEET","08/12/1988","SAN DIEGO, CA","","","Battle Force","Ingalls Shipbuilding Corp.","12/16/1983","08/12/1988","03/03/1986","","04/03/1987","","06/01/1988","","","","567 ft","529 ft","55 ft","55 ft","33 ft","23 ft","7132 tons","9992 tons","2860 tons","Steel hull, aluminum superstructure.","2","","Gas Turbines","37","339","US NAVY","Huntington Ingalls Industries - Ingalls Shipbuilding","","PMS 407","","08/02/2018"
"CVS 39","LAKE CHAMPLAIN","LAKE CHAMPLAIN (CVS 39)","(ex - CV 39, CVA 39)","ASW SUPPORT AIRCRAFT CARRIER","CVS 10","03339","Disposed of, by Navy Sale","","04/28/1972","","","","","Naval Shipyard Norfolk","08/07/1942","06/03/1945","03/15/1943","","11/02/1944","05/02/1966","06/03/1945","","","12/01/1969","889 ft","820 ft","152 ft","101 ft","31 ft","","28200 tons","40600 tons","12400 tons","Steel hull, steel superstructure.","4","","Steam Turbines","361","2815","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","06/26/2002"
"CG 70","LAKE ERIE","USS LAKE ERIE (CG 70)","","GUIDED MISSILE CRUISER","CG 47","21827","Active, in commission","U.S. PACIFIC FLEET","07/24/1993","SAN DIEGO, CA","","","Battle Force","Bath Iron Works Corp.","02/25/1988","05/10/1993","03/06/1990","","07/13/1991","","03/12/1993","","","","567 ft","529 ft","55 ft","55 ft","33 ft","23 ft","7132 tons","9992 tons","2860 tons","Steel hull, aluminum superstructure.","2","","Gas Turbines","37","339","US NAVY","Huntington Ingalls Industries - Ingalls Shipbuilding","","PMS 407","","08/02/2018"
"APA 47","LAMAR","LAMAR (APA 47)","(ex - MC 431)","ATTACK TRANSPORT","APA 33","","Disposed of by MARAD sale","","07/03/1946","","","","","Ingalls Shipbuilding Corp.","","11/10/1943","03/31/1943","","08/28/1943","03/07/1946","11/09/1943","","","04/01/1946","492 ft","","70 ft","","","","7845 tons","","","","","","","","","MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET)","","","","","08/11/2000"
"LFR 512","LAMOILLE RIVER","LAMOILLE RIVER (LFR 512)","(ex - LSMR 512)","INSHORE FIRE SUPPORT SHIP","LFR 501","75512","Disposed of, by Navy Sale","","06/01/1974","","","","","","","","","","","","","","","05/01/1973","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","01/02/2002"
"LPA 178","LANDER","LANDER (LPA 178)","(ex - MCV 144)","AMPHIBIOUS TRANSPORT","LPA 117","","Disposed of by MARAD exchange","","09/17/1983","","","","","","","","","","","","","","","04/17/1946","","","","","","","","","","","","","","","","MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET)","","","","","03/05/2007"
"FF 1060","LANG","LANG (FF 1060)","(ex - DE 1060)","FRIGATE","FF 1052","54055","Disposed of by Dismantling (Scrapping/Recycling)","","12/15/2001","","","","","TODD SY/SAN PEDRO","07/22/1964","03/28/1970","03/25/1967","","02/17/1968","12/12/1991","03/20/1970","","","01/11/1995","438 ft","415 ft","47 ft","47 ft","25 ft","17 ft","3250 tons","4246 tons","996 tons","Steel hull, aluminum superstructure.","1","","Steam Turbines","21","268","","","","","","12/12/2017"
"LPR 55","LANING","LANING (LPR 55)","(ex - DE 159, APD 55)","AMPHIBIOUS TRANSPORT, SMALL","LPR 55","02859","Disposed of, by Navy Sale","","11/01/1975","","","","","Naval Shipyard Norfolk","01/10/1942","08/01/1943","04/23/1943","","07/04/1943","09/13/1957","08/18/1943","","","03/01/1975","306 ft","300 ft","37 ft","36 ft","9 ft","","1400 tons","2130 tons","730 tons","Steel hull, steel superstructure.","2","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","02/14/2002"
"DER 388","LANSING","LANSING (DER 388)","(ex - DE 388)","RADAR PICKET ESCORT SHIP","DER 386","53388","Disposed of, by Navy Sale","","09/01/1974","","","","","","","","","","","","","","","02/01/1975","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","12/17/2001"
"SS 260","LAPON","LAPON (SS 260)","","SUBMARINE","SS 363","05260","Disposed of through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned","","04/01/1976","","","","","","","","","","","","","","","12/31/1975","","","","","","","","","","","","","","","","GREECE","","","","","12/28/2001"
"SSN 661","LAPON","LAPON (SSN 661)","","SUBMARINE (NUCLEAR-POWERED)","SSN 637","05142","Disposed of by submarine recycling","","11/30/2004","","","","","Newport News Shipbuilding","10/24/1963","12/14/1967","07/26/1965","","12/16/1966","08/08/1992","12/14/1967","","","08/08/1992","292 ft","","","","","","3860 tons","","","Steel hull, steel superstructure.","1","","Steam Turbine (Nuclear)","","","","","","","","02/24/2005"
"T-AO 203","LARAMIE","USNS LARAMIE (T-AO 203)","","FLEET REPLENISHMENT OILER","AO 187","21870","Military Sealift Command (MSC) Naval Fleet Auxiliary Force","U.S. ATLANTIC FLEET","05/07/1996","","","","Support Force","Avondale Industries","03/06/1989","","01/10/1994","","05/06/1995","","05/07/1996","05/07/1996","","","678 ft","651 ft","98 ft","","36 ft","38 ft","15788 tons","42383 tons","26595 tons","Steel hull, steel superstructure.","2","","Diesel Electric","36","53","MILITARY SEALIFT COMMAND","Military Sealift Command","","MSC","","06/13/2022"
"LFR 513","LARAMIE RIVER","LARAMIE RIVER (LFR 513)","(ex - LSMR 513)","INSHORE FIRE SUPPORT SHIP","LFR 501","75513","Disposed of, by Navy Sale","","05/01/1974","","","","","","","","","","","","","","","05/01/1973","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","01/02/2002"
"DD 487","LARDNER","LARDNER (DD 487)","","DESTROYER","","78388","Disposed of in support of Fleet training exercise","","11/01/1982","","","","","","","","","","","","","","","08/15/1949","","","","","","","","","","","","","","","","US NAVY","","","","","02/17/1999"
"DDG 82","LASSEN","USS LASSEN (DDG 82)","","GUIDED MISSILE DESTROYER","DDG 51","21956","Active, in commission","U.S. ATLANTIC FLEET","04/23/2001","MAYPORT, FL","","","Battle Force","Northrop Grumman Ship Systems Ingalls Operations","01/06/1995","04/21/2001","08/24/1998","","10/16/1999","","02/05/2001","","","","510 ft","471 ft","66 ft","59 ft","32 ft","22 ft","7134 tons","9515 tons","2381 tons","Steel hull, steel superstructure.","2","","Gas Turbines","30","282","US NAVY","General Dynamics Bath Iron Works","","PMS 407","","08/26/2021"
"AF 35","LATONA","LATONA (AF 35)","(ex - MC 2199)","STORE SHIP","AF 30","01575","Disposed of by Navy title transfer to the Maritime Administration","","04/15/1949","","","","","Pennsylvania Shipyards, Inc.","04/10/1945","02/25/1945","06/12/1944","","08/10/1944","04/15/1949","01/31/1945","","","04/08/1949","339 ft","","50 ft","","21 ft","","","3139 tons","","","","","","","84","","","","","","04/09/2003"
"DD 613","LAUB","LAUB (DD 613)","","DESTROYER","DD 421","04013","Disposed of, by Navy Sale","","06/01/1974","","","","","","","","","","","","","","","07/01/1971","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","01/02/2002"
"DD 448","LAVALLETTE","LAVALLETTE (DD 448)","","DESTROYER","DD 448","04448","Disposed of through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned","","07/01/1974","","","","","","","","","","","","","","","02/01/1974","","","","","","","","","","","","","","","","PERU","","","","","12/28/2001"
"ARST 1","LAVSAN ISLAND","LAVSAN ISLAND (ARST 1)","(ex - LST 1098)","SALVAGE CRAFT TENDER","ARST 1","58098","Disposed of, by Navy Sale","","01/01/1974","","","","","","","","","","","","","","","06/01/1973","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","01/02/2002"
"DDG 4","LAWRENCE","LAWRENCE (DDG 4)","","GUIDED MISSILE DESTROYER","DDG 2","04670","Disposed of by Dismantling (Scrapping/Recycling)","","10/28/2004","","","","","New York Shipbuilding Corp.","03/28/1957","01/06/1962","10/27/1958","","02/27/1960","03/30/1990","12/20/1961","","","05/16/1990","","","","","","","","","","","","","Steam Turbines","","","","","","","","12/12/2017"
"DE 415","LAWRENCE C TAYLOR","LAWRENCE C TAYLOR (DE 415)","","ESCORT SHIP","DE 339","53415","Disposed of, by Navy Sale","","08/01/1973","","","","","","","","","","","","","","","12/01/1972","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","02/16/2011"
"AOT 1125","LAWRENCE H GIANELLA","LAWRENCE H GIANELLA (AOT 1125)","","TRANSPORT OILER","AOT 1121","46377","Disposed of through Inter or Intra Agency Transfer","","09/30/2019","","","","","American Ship Building Co.","","","","","","","04/22/1986","04/22/1986","09/29/2019","09/29/2019","615 ft","587 ft","90 ft","","","","8912 tons","41484 tons","32572 tons","Steel hull, capable of ice operations.","","","Diesel","","","","","","","","06/13/2022"
"DD 558","LAWS","LAWS (DD 558)","","DESTROYER","DD 448","04558","Disposed of, by Navy Sale","","11/01/1973","","","","","","","","","","","","","","","04/15/1973","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","01/02/2002"
"AK 3016","LCPL ROY M WHEAT","LCPL ROY M WHEAT (AK 3016)","(ex - GTS BAZALIYA)","CARGO SHIP","AK 3015","23068","Disposed of through Inter or Intra Agency Transfer","","01/31/2022","","","","","CHERNO MORSKIY ZAVOD","","","","","","","01/01/1987","01/01/1987","12/30/2021","12/30/2021","864 ft","","98 ft","","35 ft","","","50059 tons","","Steel hull, steel superstructure.","2","","Gas Turbines","","","","","","","","06/13/2022"
"MSO 490","LEADER","LEADER (MSO 490)","(ex - AM 490)","MINESWEEPER,OCEAN","MSO 422","08148","Disposed of, by Navy Sale","","04/15/1994","","","","","J M MARTINAC SB CORP","12/29/1952","11/16/1955","09/22/1953","","09/15/1954","03/18/1992","11/03/1955","","","03/18/1992","","","","","","","","","","","","","Diesel","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","07/03/2000"
"CG 16","LEAHY","LEAHY (CG 16)","(ex - DLG 16)","GUIDED MISSILE CRUISER","CG 16","52687","Disposed of by Dismantling (Scrapping/Recycling)","","07/06/2005","","","","","Bath Iron Works Corp.","11/07/1958","08/04/1962","12/03/1959","","07/01/1961","10/01/1993","07/27/1962","","","10/01/1993","533 ft","510 ft","55 ft","54 ft","26 ft","21 ft","5912 tons","8281 tons","2369 tons","Steel hull, aluminum superstructure.","2","","Steam Turbine","37","408","","","","","","12/12/2017"
"DD 879","LEARY","LEARY (DD 879)","(ex - DDR 879)","DESTROYER","DD 710","52179","Disposed of through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned","","10/31/1973","","","","","","","","","","","","","","","06/02/1975","","","","","","","","","","","","","","","","SPAIN","","","","","12/28/2001"
"APD 45","LEE FOX","LEE FOX (APD 45)","(ex - DE 65)","HIGH SPEED TRANSPORT","APD 37","02765","Disposed of by Dismantling (Scrapping/Recycling)","","","","","","","BETHLEHEM STEEL CORP., HINGHAM SHIPYARD","02/10/1942","08/30/1943","03/01/1943","","05/29/1943","05/13/1946","08/30/1943","","","09/01/1964","306 ft","300 ft","37 ft","36 ft","14 ft","","","","","Steel hull, steel superstructure.","2","","","","","","","","","","12/12/2017"
"YFB 92","LEEWARD","LEEWARD (YFB 92)","","FERRY BOAT OR LAUNCH (S-P)","YFB 92","22590","Active, in service","","01/30/1995","","","","","Bender Shipbuilding & Repair Co., Inc.","10/01/1992","","","","","","01/30/1995","","","","136 ft","","36 ft","","11 ft","","","","","Steel hull, steel superstructure.","","","","","","NAVAL STATION, GUANTANAMO BAY, CU (NAVSTA)","Puget Sound Naval Shipyard & IMF","","PMS 325","","06/27/2018"
"DD 984","LEFTWICH","LEFTWICH (DD 984)","","DESTROYER","DD 963","20616","Disposed of in support of Fleet training exercise","","08/01/2003","","","","","Ingalls Shipbuilding Corp.","01/15/1974","08/25/1979","11/12/1976","","04/08/1978","03/27/1998","08/06/1979","","","03/27/1998","563 ft","529 ft","55 ft","55 ft","30 ft","23 ft","6516 tons","8773 tons","2257 tons","Steel hull, aluminum superstructure.","2","","Gas Turbines","25","273","US NAVY","","","","","08/06/2003"
"YTM 777","LELAKA","LELAKA (YTM 777)","(ex - YTB 514)","MEDIUM HARBOR TUG (S-P)","YTM 764","12714","Disposed of, by Navy Sale","","11/01/1980","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","08/30/2001"
"DE 420","LELAND E THOMAS","LELAND E THOMAS (DE 420)","","ESCORT SHIP","DE 339","53420","Disposed of, by Navy Sale","","09/01/1973","","","","","","","","","","","","","","","12/01/1972","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","02/16/2011"
"DDG 123","LENAH H SUTCLIFFE HIGBEE","LENAH H SUTCLIFFE HIGBEE (DDG 123)","(ex - DDG 122)","GUIDED MISSILE DESTROYER","DDG 51","50404","Under construction","","01/25/2017","","","","","Ingalls Shipbuilding Corp.","06/03/2013","","11/06/2017","","01/27/2020","","","","","","","","","","","","","","","","","","","","","","General Dynamics Bath Iron Works","","","","12/01/2021"
"ATS 9","LENNI LENAPE","LENNI LENAPE (ATS 9)","","TOWING, SALVAGE, AND RESCUE SHIP","ATS 6","","Authorized, for US Navy construction","","03/25/2020","","","","","BOLLINGER HOUMA SHIPYARDS","03/25/2020","","","","","","","","","","","","","","","","","","","","","","","","","","","","PMS 325","","11/02/2021"
"DD 852","LEONARD F MASON","LEONARD F MASON (DD 852)","","DESTROYER","DD 710","52152","Disposed of through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned","","03/01/1978","","","","","","","","","","","","","","","11/02/1976","","","","","","","","","","","","","","","","TAIWAN","","","","","02/16/2011"
"DE 414","LERAY WILSON","LERAY WILSON (DE 414)","","ESCORT SHIP","DE 339","53414","Disposed of, by Navy Sale","","09/01/1973","","","","","","","","","","","","","","","05/15/1972","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","01/02/2002"
"T-AO 195","LEROY GRUMMAN","USNS LEROY GRUMMAN (T-AO 195)","","FLEET REPLENISHMENT OILER","AO 187","21525","Military Sealift Command (MSC) Naval Fleet Auxiliary Force","U.S. ATLANTIC FLEET","08/02/1989","","","","Support Force","Avondale Industries","02/27/1986","","07/06/1987","","12/03/1988","","08/02/1989","08/02/1989","","","678 ft","651 ft","98 ft","","36 ft","38 ft","14822 tons","42383 tons","27561 tons","Steel hull, steel superstructure.","2","","Diesel Electric","36","53","MILITARY SEALIFT COMMAND","Military Sealift Command","","MSC","","06/13/2022"
